"Vanessa Paradis","La Seine - Extrait de la bande originale un monstre à Paris"
"Vanessa Paradis","Coupe Coupe"
"Bandolero","Paris Latino - Original Version 1983"
"Niagara","Quand la ville dort"
"Niagara","Soleil d'hiver"
"Pierre Bachelet","Vingt ans"
"Pierre Bachelet","En l'an 2001"
"Jane Birkin","Quoi"
"Jane Birkin","Di doo dah"
"Jane Birkin","Fuir le bonheur de peur qu'il ne se sauve"
"Michel Berger","Message personnel - Remasterisé en 2002"
"Michel Berger","Les princes des villes - Remasterisé en 2002"
"Fabienne Thibeault","Le monde est stone - Remasterisé en 2009"
"Céline Dion","Le monde est stone"
"France Gall","La déclaration d'amour - Remasterisé en 2004"
"France Gall","Débranche - Remasterisé en 2004"
"Karine Costa","Ce rêve bleu"
"The Beatles","Help! - Remastered 2015"
"The Beatles","Let It Be - Remastered 2015"
"Johnny Hallyday","Quelque chose de Tennessee"
"Renaud","Miss Maggie"
"Renaud","Les aventures de Gérard Lambert"
"Renaud","C'est quand qu'on va où ?"
"Anaïs","Mon Coeur, Mon Amour - Garage Mix"
"Olivia Ruiz","Elle panique"
"Louane","Jour 1"
"Louane","Je vole"
"Fréro Delavega","Le chant des sirènes"
"Angèle","Balance ton quoi"
"Boulevard des Airs","Bruxelles"
"Charles Aznavour","Les comédiens"
"Jean Ferrat","Aimer à perdre la raison"
"Jean Ferrat","C'est beau la vie"
"Jean Ferrat","La montagne"
"Jean Ferrat","Ma France"
"Dalida","Itsi bitsi petit bikini"
"Johnny Hallyday","Souvenirs, souvenirs"
"Antoine","Les elucubrations d'Antoine"
"Michel Sardou","En chantant"
"Christophe","Les marionnettes"
"Isabelle Adjani","Pull marine"
"Vanessa Paradis","Marilyn & John - Version Longue"
"Vanessa Paradis","Maxou"
"Dimitri Rougeul","Hakuna Matata"
"Debbie Davis","L'Histoire De La Vie"
"Dimitri Rougeul","Je Voudrais Déjà Être Roi"
"Maïdi Roth","L'Amour Brille Sous Les Étoiles"
"Sheryfa Luna","Ce qu'ils aiment"
"Wallen","Celle Qui A Dit Non - Feat Shurik'n"
"K.Maro","Femme Like U"
"Matt","R&B 2 Rue"
"Indila","Love Story"
"Booba","Destinée"
"Singuila","Aïcha"
"Jena Lee","J'aimerais tellement"
"Nuttea","Elle te rend dingue - poom poom short radio edit"
"Corneille","Avec classe (feat. Aya Nakamura & Trinix)"
"Wallen","L'Olivier"
"K.Maro","Crazy"
"Sheryfa Luna","Quelque part"
"Singuila","Le misérable"
"Matt","Dans La Peau D'Un Dealer"
"Vitaa","Ma soeur"
"Matt","Cendrillon Du Ghetto"
"Rohff","Charisme (avec Wallen)"
"Melissa M","Benthi"
"M. Pokora","Elle me contrôle"
"Superbus","Radio Song"
"Singuila","Ma nature"
"Vitaa","Pourquoi les hommes?"
